x, y, ksi, T
#iter= 1
0.2 0.2 0.0200704 0.562512 
0.25 0.2 0.0409618 0.56896 
0.3 0.2 0.0603692 0.579698 
0.35 0.2 0.0776289 0.594471 
0.4 0.2 0.0921575 0.612952 
0.45 0.2 0.103465 0.634759 
0.5 0.2 0.111162 0.659451 
0.55 0.2 0.114968 0.686518 
0.6 0.2 0.11471 0.715341 
0.65 0.2 0.110337 0.745152 
0.7 0.2 0.101923 0.77497 
0.75 0.2 0.0896857 0.80356 
0.8 0.2 0.0739946 0.829445 
0.85 0.2 0.0553809 0.850989 
0.9 0.2 0.0345313 0.866587 
0.95 0.2 0.0122643 0.874925 
1 0.2 -0.0105108 0.875246 
1.05 0.2 -0.0328513 0.867521 
1.1 0.2 -0.0538433 0.852455 
1.15 0.2 -0.0726595 0.831328 
1.2 0.2 -0.0886023 0.805733 
1.25 0.2 -0.101128 0.777312 
1.3 0.2 -0.109856 0.74756 
1.35 0.2 -0.114558 0.71773 
1.4 0.2 -0.11515 0.688822 
1.45 0.2 -0.111677 0.661621 
1.5 0.2 -0.104305 0.636752 
1.55 0.2 -0.0933117 0.614733 
1.6 0.2 -0.0790819 0.596007 
1.65 0.2 -0.0621046 0.580954 
1.7 0.2 -0.0429623 0.569896 
1.75 0.2 -0.0223168 0.563081 
1.8 0.2 -0.000888312 0.560667 
1.85 0.2 0.0205716 0.562711 
1.9 0.2 0.0413101 0.569165 
1.95 0.2 0.0606033 0.579879 
2 0.2 0.0777836 0.59461 
2.05 0.2 0.0922615 0.613045 
2.1 0.2 0.10354 0.634805 
2.15 0.2 0.111226 0.659454 
2.2 0.2 0.11503 0.686483 
2.25 0.2 0.11478 0.715275 
2.3 0.2 0.110419 0.745063 
2.35 0.2 0.10202 0.774866 
2.4 0.2 0.0897983 0.803454 
2.45 0.2 0.0741214 0.82935 
2.5 0.2 0.0555195 0.850917 
2.55 0.2 0.0346775 0.866549 
2.6 0.2 0.0124133 0.87493 
2.65 0.2 -0.0103645 0.875298 
2.7 0.2 -0.0327135 0.86762 
2.75 0.2 -0.0537193 0.852594 
2.8 0.2 -0.0725542 0.831499 
2.85 0.2 -0.0885198 0.805926 
2.9 0.2 -0.101072 0.777517 
2.95 0.2 -0.109828 0.747768 
3 0.2 -0.114559 0.717935 
3.05 0.2 -0.115181 0.689017 
3.1 0.2 -0.111737 0.661802 
3.15 0.2 -0.104393 0.636915 
3.2 0.2 -0.093425 0.614873 
3.25 0.2 -0.0792177 0.59612 
3.3 0.2 -0.062259 0.581038 
3.35 0.2 -0.0431304 0.569949 
3.4 0.2 -0.0224932 0.563099 
3.45 0.2 -0.00106708 0.560649 
3.5 0.2 0.0203966 0.562657 
3.55 0.2 0.0411449 0.569076 
3.6 0.2 0.0604539 0.579754 
3.65 0.2 0.0776555 0.594453 
3.7 0.2 0.0921595 0.612857 
3.75 0.2 0.103469 0.634589 
3.8 0.2 0.111188 0.659214 
3.85 0.2 0.115029 0.686222 
3.9 0.2 0.114817 0.715001 
3.95 0.2 0.110496 0.744783 
4 0.2 0.102136 0.774591 
4.05 0.2 0.0899516 0.803199 
4.1 0.2 0.0743094 0.829133 
4.15 0.2 0.0557374 0.850758 
4.2 0.2 0.0349193 0.866469 
4.25 0.2 0.0126712 0.874947 
4.3 0.2 -0.0100995 0.875424 
4.35 0.2 -0.0324507 0.86786 
4.4 0.2 -0.053469 0.852947 
4.45 0.2 -0.0723265 0.831957 
4.5 0.2 -0.0883255 0.806477 
4.55 0.2 -0.100923 0.778149 
4.6 0.2 -0.109738 0.748469 
4.65 0.2 -0.114546 0.71869 
4.7 0.2 -0.115267 0.68981 
4.75 0.2 -0.11195 0.662609 
4.8 0.2 -0.104763 0.637702 
4.85 0.2 -0.0939776 0.615592 
4.9 0.2 -0.079958 0.596704 
4.95 0.2 -0.0631323 0.58142 
5 0.2 -0.0439554 0.570115 
0 0.25 -0.0852304 0.502193 
0.05 0.25 -0.0593067 0.48868 
0.1 0.25 -0.0311419 0.480247 
0.15 0.25 -0.00183544 0.477182 
0.2 0.25 0.0275203 0.479572 
0.25 0.25 0.055864 0.487335 
0.3 0.25 0.0821937 0.500244 
0.35 0.25 0.105596 0.517956 
0.4 0.25 0.125272 0.540039 
0.45 0.25 0.140551 0.565998 
0.5 0.25 0.150909 0.595284 
0.55 0.25 0.155969 0.62728 
0.6 0.25 0.155511 0.66126 
0.65 0.25 0.149476 0.69633 
0.7 0.25 0.137981 0.731355 
0.75 0.25 0.121334 0.764906 
0.8 0.25 0.100046 0.795264 
0.85 0.25 0.0748429 0.820523 
0.9 0.25 0.0466496 0.838806 
0.95 0.25 0.0165641 0.848578 
1 0.25 -0.0141991 0.848954 
1.05 0.25 -0.0443827 0.839899 
1.1 0.25 -0.0727662 0.822238 
